Date,HourEnding,TotalResourceMWZoneSouth,TotalResourceMWZoneNorth,TotalResourceMWZoneWest,TotalResourceMWZoneHouston,TotalIRRMWZoneSouth,TotalIRRMWZoneNorth,TotalIRRMWZoneWest,TotalIRRMWZoneHouston,TotalNewEquipResourceMWZoneSouth,TotalNewEquipResourceMWZoneNorth,TotalNewEquipResourceMWZoneWest,TotalNewEquipResourceMWZoneHouston
05/02/2025,24,6960,9062,1513,4928,778,816,2144,404,1010,2294,1395,1975
05/03/2025,01,7476,10808,1513,5557,814,816,2144,404,1010,2294,1395,1975
05/03/2025,02,7476,11016,1513,5557,814,816,2144,404,1010,2294,1395,1975
05/03/2025,03,7476,11016,1513,5557,814,816,2144,404,1010,2294,1395,1975
05/03/2025,04,7476,11016,1513,5557,814,816,2144,404,1010,2294,1395,1975
05/03/2025,05,7476,11016,1513,5557,814,816,2154,404,1010,2294,1395,1975
05/03/2025,06,7476,11016,1513,5602,823,816,2154,388,1010,2294,1395,1975
05/03/2025,07,7473,11016,1513,5647,823,816,2154,388,1010,2294,1395,1975
05/03/2025,08,7473,11016,1513,5647,823,816,2164,559,1010,2294,1395,1975
05/03/2025,09,6923,11016,1513,5647,823,816,2187,559,1010,2294,1395,1975
05/03/2025,10,6923,11016,1513,5647,823,816,2187,559,1010,2294,1395,1975
05/03/2025,11,6927,11016,1513,5652,823,816,2077,409,1010,2294,1395,1975
05/03/2025,12,6927,11016,1513,5652,823,816,2077,393,1010,2294,1395,1975
05/03/2025,13,6923,11016,1513,5652,823,816,2051,353,1010,2294,1395,1975
05/03/2025,14,6923,11016,1513,5652,823,816,2051,341,1010,2294,1395,1975
05/03/2025,15,6923,11016,1653,5652,814,816,2051,329,1010,2294,1395,1975
05/03/2025,16,6923,10170,1653,5652,804,605,2061,329,1010,2294,1395,1975
05/03/2025,17,6923,10170,1653,5806,804,605,2061,263,1010,2294,1395,1975
05/03/2025,18,6923,10170,1653,5806,804,605,2061,263,1010,2294,1395,1975
05/03/2025,19,6923,10170,1653,5761,804,605,2061,263,1010,2294,1395,1975
05/03/2025,20,6923,10170,1653,5761,804,605,2061,263,1010,2294,1395,1975
05/03/2025,21,6923,10170,1653,5761,804,605,2061,263,1010,2294,1395,1975
05/03/2025,22,6923,10170,1653,5761,804,605,2061,263,1010,2294,1395,1975
05/03/2025,23,6923,10170,1653,6080,804,605,2038,263,1010,2294,1395,1975
05/03/2025,24,6532,10170,1632,5729,804,605,2038,263,1010,2294,1395,1975
05/04/2025,01,5991,10170,1653,6099,804,605,2052,263,1010,2294,1395,1975
05/04/2025,02,5991,10170,1653,6099,804,605,2052,263,1010,2294,1395,1975
05/04/2025,03,5991,10170,1653,6099,804,605,2052,263,1010,2294,1395,1975
05/04/2025,04,5991,10170,1653,6099,804,605,2052,263,1010,2294,1395,1975
05/04/2025,05,5991,10170,1653,6099,804,605,2052,263,1010,2294,1395,1975
05/04/2025,06,5991,10170,1653,6099,804,605,2052,263,1010,2294,1395,1975
05/04/2025,07,5991,10170,1653,6144,804,605,2071,263,1010,2294,1395,1975
05/04/2025,08,5991,10170,1653,6144,804,605,2071,263,1010,2294,1395,1975
05/04/2025,09,5991,10170,1653,6144,804,605,2071,263,1010,2294,1395,1975
05/04/2025,10,5991,10170,1653,6144,804,605,2071,263,1010,2294,1395,1975
05/04/2025,11,5991,10170,1653,6144,804,605,2071,263,1010,2294,1395,1975
05/04/2025,12,5991,10170,1653,6144,804,605,2071,263,1010,2294,1395,1975
05/04/2025,13,5991,10170,1653,6144,804,605,2071,263,1010,2294,1395,1975
05/04/2025,14,5991,10170,1653,6144,804,605,2071,263,1010,2294,1395,1975
05/04/2025,15,5991,10170,1653,6144,804,605,2071,263,1010,2294,1395,1975
