DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,SYSTEM_WIDE_HSL,DSTFlag
05/01/2025,17,16282.16,19508.8,17584.1,16726.4,18143.49,N
05/01/2025,18,14601.62,17243.7,15570.6,14750.6,16056.43,N
05/01/2025,19,11690.58,12268.4,11177,10518.7,12691.72,N
05/01/2025,20,4255.66,3828.2,4129.7,3793.1,5638.37,N
05/01/2025,21,138.79,113.7,177.4,164.6,362.29,N
05/01/2025,22,0.28,0,0,0,0.5,N
05/01/2025,23,0.16,0,0,0,0.3,N
05/01/2025,24,0.28,0,0,0,0.68,N
05/02/2025,01,0.51,0,0,0,1.12,N
05/02/2025,02,0.4,0,0,0,1.04,N
05/02/2025,03,0.37,0,0,0,0.95,N
05/02/2025,04,0.28,0,0,0,0.81,N
05/02/2025,05,0.31,0,0,0,0.99,N
05/02/2025,06,0.28,0,0,0,0.85,N
05/02/2025,07,14.33,23.8,26.4,25.2,2.91,N
05/02/2025,08,2456.47,2561.1,2641.6,2440.1,1664.82,N
05/02/2025,09,7937.78,9849,9390.4,8717.1,7317.67,N
05/02/2025,10,10797.56,13601.7,10708.4,10036.5,10577.05,N
05/02/2025,11,11557.15,15245.5,11283.3,10552.1,11949.84,N
05/02/2025,12,12582.9,15780.4,12198.2,11297.2,12795.08,N
05/02/2025,13,12658.34,16291.6,13581.4,12590.7,13961.14,N
05/02/2025,14,12780.58,15032.9,14041.4,13075.3,14303.13,N
05/02/2025,15,12799.59,13963.5,14583,13652.8,14234.86,N
05/02/2025,16,11654.68,12805.8,13125.1,12267.3,12310.99,N
05/02/2025,17,11012.77,12159.7,11206.7,10374.9,11453.91,N
05/02/2025,18,10524.39,10740.5,11145.2,11145.2,11823.53,N
05/02/2025,19,8079.66,7853.1,7232.4,7232.4,9008.48,N
05/02/2025,20,3105.11,2629.2,1820.5,1820.5,4012.01,N
